# --------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# --- WEEK 3 DATA START ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# --------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026,,,,,,,2026-01-12 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Log,HK Trials For Week 3,# of colours,Order,Tubes,Plates/Posi,PP #,DIA,,Promise /    Complete,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-20 0:00:00,Environ,2,,x,x,20794,50,50x132/10 Coex White,2026-01-23 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-21 0:00:00,Orijins,3,,x,x,20844,35,35x90/6 Coex White,2026-01-23 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nipple Cream ( Portia),6,,,,20460,35,35x110/10 Coex White,,Retrial wait on new art  8/12 still no art approval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuticura Overseas Plates,,,,,,,,,Tubes will run next 50 run 29 nov.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dubuit trials For Week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-02 0:00:00,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-02 0:00:00,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12 0:00:00,8/12 needs to be retrialled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Playboy Tube trials,,,,,,,,,24/11We found a few samples and sent to customer. Lets see what they say.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laminate Print Trial/Cindi Week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11 0:00:00,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19 0:00:00,Bytjie Salf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11 0:00:00,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19 0:00:00,Bytjie Salf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laminate  Assebly Week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11 0:00:00,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19 0:00:00,Bytjie Salf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11 0:00:00,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19 0:00:00,Bytjie Salf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foil Week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environ,2,,,,20794,50,50x132/10 Coex White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-12 0:00:00,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19 0:00:00,Bytjie Salf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-12 0:00:00,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19 0:00:00,Bytjie Salf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Offset  Trail Week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S/S  Week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
