Pre-Prod No.;Client;Description;Artwork required;STATUS;Comments;Artwork Received;Sent Proof for WT_SP;Sent Proof to Client;Proof Approved (Conventional);Ordered Plates;Plates Arrived;Ordered Foil Block;Foil Block Arrived;Quoted;Spec Supplied
12090;Revlon SA;LHM Enchant Rainbow R/O Bottle 50ml;;;-;;;-;-;-;-;-;-;;
12091;Revlon SA;LHM Enchant Rainbow Roll On Cap 50ml;;;-;;;-;-;-;-;-;-;;
12092;Revlon SA;LHM Original Rainbow Roll On Bottle 50ml;;;-;;;-;-;-;-;-;-;;
12093;Revlon SA;LHM Original rainbow Roll On Cap 50ml;;;-;;;-;-;-;-;-;-;;
12094;Revlon SA;LHM Breathless Rainbow Roll On Bottle 50ml;;;-;;;-;-;-;-;-;-;;
12095;Revlon SA;LHM Breathless Rainbow Roll On Cap 50ml ;;;-;;;-;-;-;-;-;-;;
12096;Genop Healthcare;Epimax Junior /Baby Cream Lid 400g- Lilac - Wadded;;;-;;;-;-;-;-;-;-;;
12097;Genop Healthcare;Epimax All Purpose Plus Lid 400g- Blue - Wadded;;;-;;;-;-;-;-;-;-;;
12098;Genop Healthcare;Epimax All Purpose Lid 400g - Yellow - Wadded;;;-;;;-;-;-;-;-;-;;
12089;Skinchem (Pty) Ltd.;I/G Classic Apple Crème 100ml;X;Closed;;18.07.2016;22.07.2016;25.07.2016;28.07.2016;29.07.2016;02.08.2016;;;;
12100;Le-Sel;Country Gardens Rose Body Souffle 50ml;X;Closed;-;;;-;-;-;-;27.07.2016;02.08.2016;;
12101;Le-Sel;Country Garden Rose Hand & Nail Cream 50ml;X;Closed;-;;;-;-;-;-;27.07.2016;02.08.2016;;
12102;Le-Sel;Ingredientz Pearl Extracts Body Butter 50ml;X;Closed;-;;;-;-;-;-;16.08.2016;22.08.2016;;
12103;Le-Sel;Ingredientz Pearl Extracts Hand & Nail Cream;X;Closed;-;;;-;-;-;-;16.08.2016;22.08.2016;;
12104;Nutriwoman;Nutriwoman 200ml;X;;-;;;-;-;-;-;-;-;;
12105;Nutriwoman;Nutriwoman 100ml;X;;-;;;-;-;-;-;-;-;;
12106;Genop Healthcare;EPIMAX Material Trial 400g;;;-;;;-;-;-;-;-;-;;
12107;Canway;Iwori Stone/Beige 250ml Non T/Lock Jar;;;-;;;-;-;-;-;-;-;;
12108;Canway;Iwori Stone/Beige 250ml Square Lid;;;-;;;-;-;-;-;-;-;;
12109;Canway;Osh Hand Wash Bottlle 200ml;;;-;;;-;-;-;-;-;-;;
12110;Canway;OSH Body Wash /Lotion Bottle 250ml;;;-;;;-;-;-;-;-;-;;
12111;Bowler CT;Hooked On Life Body Wash and Scrub 125ml;X;;-;;;-;-;-;-;-;-;;
12112;Consumer / Tiger;Ingrams Tisue Oil Cream Plus 500g Jar - Urola - labelled;;;-;;;-;-;-;-;-;-;;
12113;Consumer / Tiger;Ingrams Tisue Oil Cream 500g Lid - Urola;;;-;;;-;-;-;-;-;-;;
12114;Consumer / Tiger;Ingrams Herbal 500g Jar - Urola - labelled;;;-;;;-;-;-;-;-;-;;
12115;Consumer / Tiger;Ingrams Herbal 500g Lid- Urola;;;-;;;-;-;-;-;-;-;;
12116;Consumer / Tiger;Ingrams Moisture Plus 500g Jar - Urols - Labelled;;;-;;;-;-;-;-;-;-;;
12117;Consumer / Tiger;Ingrams Moisture Plus 500g Lid - Urols;;;-;;;-;-;-;-;-;-;;
12118;Consumer / Tiger;Ingrams Camphor 500g Jar - Urola - Label;;;-;;;-;-;-;-;-;-;;
12119;Consumer / Tiger;Ingrams Camphor 500g Lid- Urola;;;-;;;-;-;-;-;-;-;;
12120;Consumer / Tiger;Ingrams Mens DS Renewal 500g Jar - Urola - labelled;;;-;;;-;-;-;-;-;-;;
12121;Consumer / Tiger;Ingrams Mens Renewal 500g Lid - Urola;;;-;;;-;-;-;-;-;-;;
12122;Consumer / Tiger;Ingrams Aloe Vera Plus 500g Jar - Urola - labelled;;;-;;;-;-;-;-;-;-;;
12123;Consumer / Tiger;Ingrams Aloe Vera 500g Lid - Urola;;;-;;;-;-;-;-;-;-;;
12124;Bowler CT;Hooked on Lfe SPF15Face and Body Lotion  125ml;X;;-;;;-;-;-;-;-;-;;
12125;Bowler CT;Hooked On Life Shampoo and Conditioner 125ml;X;;-;;;-;-;-;-;-;-;;
12099;ZA Natural Care;Bitter Gel 50ml;X;Closed;;04.08.2016;04.08.2016;04.08.2016;16.08.2016;16.08.2016;24.08.2016;;;;
12126;Fabupharm;Desert Sun SPF 30+ 50ml;X;Closed;;26.07.2016;02.08.2016;08.08.2016;16.08.2016;31.08.2016;05.09.2016;;;;
12127;Bulembu Ministries Swaziland;Bulembu Natural Raw Honey 250g;X;Closed;;21.07.2016;01.08.2016;04.08.2016;08.08.2016;08.08.2016;18.08.2016;;;;
12129;Saradox;Good Stuff Moisture Blast Moisture Cream 75ml -Gifting;X;;-;;;-;-;-;-;-;-;;
12130;Saradox;Good Stuff Bee Natural Hand Cream 75ml - Gifting;X;;-;;;-;-;-;-;-;-;;
12131;Olgani;Herbal Refreshing Toothpaste 75ml;X;;-;;;-;-;-;-;-;-;;
12132;Olgani;Detoxifying Charcoal Toothpaste 75ml;X;Closed;-;;;-;-;24.08.2016;30.08.2016;-;-;;
12133;Olgani;Fruity Orange Toothpaste 75ml;X;;-;;;-;-;-;-;-;-;;
12134;RW Gericke;Tube 40x100/10 LDPE White   50ml Unprinted;X;;-;;;-;-;-;-;-;-;;
12128;Bulembu Ministries Swaziland;Bulembu Natural Raw Honey 320g;X;Closed;;21.07.2016;01.08.2016;04.08.2016;08.08.2016;08.08.2016;17.08.2016;;;;
12135;Fabupharm;Desert Sun SPF30 200ml  (ITW 12126);X;Closed;;26.07.2016;02.08.2016;08.08.2016;16.08.2016;31.08.2016;05.09.2016;;;;
12136;Unilever;Ponds Lasting Oil Control Face Wash 50ml;X;Closed;;18.07.2016;04.08.2016;04.08.2016;18.08.2016;18.08.2016;24.08.2016;;;;
12138;Amka Products;PG 23 Indented R/O Bottle 50ml Prl White;;;-;;;-;-;-;-;-;-;;
12139;Catwalk;Body Butter  150ml;X;;-;;;-;-;-;-;-;-;;
12140;Catwalk;Nourishing Hand Cream 100ml;X;;-;;;-;-;-;-;-;-;;
12141;Le-Sel;EarthBound Body Butter Jar (see 12598);;;-;;;-;-;-;-;-;-;;
12142;Le-Sel;Earth bound body butter Lid;;;-;;;-;-;-;-;-;-;;
12143;Saloncare;Tube  22x90/2 LDPE Natural - unprinted;X;;-;;;-;-;-;-;-;-;;
12144;Normadien Farms;Woolworths Sparkling 500ml 1881 - labelled;;;-;;;-;-;-;-;-;-;;
12145;Normadien Farms;Woolworths Sparkling 1500ml Bottle - Labelled;;;-;;;-;-;-;-;-;-;;
12146;Crede Oils;Crede Oils jar 1lt Clear/Natural;;;-;;;-;-;-;-;-;-;;
12147;Crede Oils;Crede oils Jar 1Lt White;;;-;;;-;-;-;-;-;-;;
12148;MRL Private Collection;Moisture Lotion For Her 75ml;X;;-;;;-;-;-;-;-;-;;
12149;Amka Products;Cuticura Cap - Green;;;-;;;-;-;-;-;-;-;;
12150;Amka Products;Cuticura cap - Orange;;;-;;;-;-;-;-;-;-;;
12151;Amka Products;Mousson Foam Bath Cap Red 221c;;;-;;;-;-;-;-;-;-;;
12152;Amka Products;PG 25 Indented R/O Bottle 50ml Lt Pink;;;-;;;-;-;-;-;-;-;;
12153;Chet Chemicals;Fabric Softerner Cap Pantone 3258c;#REF!;;-;;;-;-;-;-;-;-;;
12154;Amka Products;PG 25 Indented R/O Bottle 50ml ;;;-;;;-;-;-;-;-;-;;
12155;Amka Products;PG 28 Indented R/O Bottle 50ml Prl Gold;;;-;;;-;-;-;-;-;-;;
12156;Amka Products;PG 29 Indented R/O Bottle 50ml Dk Pink;;;-;;;-;-;-;-;-;-;;
12157;Amka Products;PG 27 Indented R/O Bottle 50ml Prl Maroon;;;-;;;-;-;-;-;-;-;;
12158;Amka Products;PG 26 Temptations Indented 50ml R/O Bottle;;;-;;;-;-;-;-;-;-;;
12137;Unilever;Ponds Lasting Oil Control Face Wash 100ml;X;Closed;;18.07.2016;04.08.2016;04.08.2016;18.08.2016;18.08.2016;24.08.2016;;;;
12160;Edward Snell;Russian Bear Vodka new PET mould;;;-;;;-;-;-;-;-;-;;
12161;Worx of Africa;Bugger Off Kids Body Crème 75ml;X;;-;;;-;-;-;-;-;-;;
12162;Worx of Africa;Bugger Off Natural Body Crème;X;;-;;;-;-;-;-;-;-;;
12159;House Of Aloes ;Alcare Cleansing Gel 150ml;X;Closed;;04.08.2016;04.10.2016;06.10.2016;14.10.2016;17.10.2016;18.10.2016;;;;
12164;Canway;CPL Toner Rooibos Tissue Oil Cap  L/Peach;;;-;;;-;-;-;-;-;-;;
12165;Canway;CPL Toner Tea Tree Tissue Oil Cap Green;;;-;;;-;-;-;-;-;-;;
12166;Britec Labs;Spiritzer 150ml;;;-;;;-;-;-;-;-;-;;
12167;Britec Labs;100ml Tissue oil cap Silver;;;-;;;-;-;-;-;-;-;;
12168;Britec Labs;Tall Boston Round 100ml Bottle Mould  PET Clear;;;-;;;-;-;-;-;-;-;;
12169;Britec Labs;24/410 cap natural;;;-;;;-;-;-;-;-;-;;
12170;Plush;400ml Venus Silver HDPE Bottle Leather Cream;;;-;;;-;-;-;-;-;-;;
12171;Natures Touch;50ml Unprinted ABL Lamanite Tube & CAP;;;-;;;-;-;-;-;-;-;;
12172;Chet Chemicals;APC White PET PNP 1L Bottle;;;-;;;-;-;-;-;-;-;;
12173;Chet Chemicals;DWL Clear PET PNP 1L Bottle ;;;-;;;-;-;-;-;-;-;;
12163;Le-Sel;Tissue Oil Gel 100ml;X;Closed;-;13.10.2016;17.10.2016;18.10.2016;03.11.2016;03.11.2016;10.11.2016;;;;
12175;Grants True leather;55mm Meltinian Lid - white;;;-;;;-;-;-;-;-;-;;
12176;#N/A;#N/A;#N/A;;-;;;-;-;-;-;-;-;;
12177;#N/A;#N/A;#N/A;;-;;;-;-;-;-;-;-;;
12178;Sea Spirit Trading 243 cc;Wild Olive Conditioner 60ml;X;;-;;;-;-;-;-;-;-;;
12179;Sea Spirit Trading 243 cc;Wild Olive Shampoo 60ml;X;;-;;;-;-;-;-;-;-;;
12180;Sea Spirit Trading 243 cc;Wild Olive Shower Gel 60ml;X;;-;;;-;-;-;-;-;-;;
12181;Sea Spirit Trading 243 cc;Wild Olive Hand and Body Lotion 60ml;X;;-;;;-;-;-;-;-;-;;
12182;Crede Oils;Crede Oils 1lt Lid Green ( Vanish Lid);;;-;;;-;-;-;-;-;-;;
12183;Crede Oils;Crede Oils 1lt Vanish lid Black;;;-;;;-;-;-;-;-;-;;
12174;Skinchem (Pty) Ltd.;I/G Exfoliating Face Scrub 50ml;X;Closed;;16.08.2016;18.08.2016;19.08.2016;25.08.2016;25.08.2016;30.08.2016;;;;
12185;Prime Products;Justine Access Mens R/O Cap 50ml Flat;;;-;;;-;-;-;-;-;-;;
12186;Nutriwoman;Nutriwoman 50ml 40x80/4  (2/9/2016 order cancelled);;;-;;;-;-;-;-;-;-;;
12187;Consumer / Tiger;Ingrams Herbal Export 500g - Urola;;;-;;;-;-;-;-;-;-;;
12184;Prime Products;Justine Access Mens B/B R/O Bottle 50ml;;Closed;;26.10.2016;04.11.2016;07.11.2016;26.04.2017;02.05.2017;02.05.2017;;;;
12189;Consumer / Tiger;ICC Common Green Lid 500g ( Urola);X;;-;;;-;-;-;-;-;-;;
12190;Canway;OSH Dragon Fruit 375ml Coral;;;-;;;-;-;-;-;-;-;;
12191;Canway;OSH Dragon Fruit 375 Peach;;;-;;;-;-;-;-;-;-;;
12192;Aerosol & Cosm.;Dolly PET 100ml Glycerine Bottle Mould - PET Natural;;;-;;;-;-;-;-;-;-;;
12193;;;X;;-;;;-;-;-;-;-;-;;
12194;Fruition;Maritons PET Gravy Oxtail  Flavour 500ml Sauce Bottle - Natural;;;-;;;-;-;-;-;-;-;;
12195;Fruition;Maritons PET Gravy Chicken Flavour 500ml Sauce Bottle - Natural;;;-;;;-;-;-;-;-;-;;
12188;Barrs;Steri Srub HD Bottle 500ml Red (ITW11979);;Closed;;;23.08.2016;30.08.2016;09.09.2016;09.09.2016;09.12.2016;;;;
12196;Spanjaard;Spanjaard Copper Compound 10g;X;Closed;;15.08.2016;23.08.2016;23.08.2016;05.09.2016;05.09.2016;14.09.2016;;;;
12197;Spanjaard;Spanjaard Nickel Compound 8g;X;Closed;;15.08.2016;23.08.2016;23.08.2016;05.09.2016;05.09.2016;14.09.2016;;;;
12198;Spanjaard;Spanjaard Rubber Grease 8g;X;Closed;;15.08.2016;23.08.2016;23.08.2016;05.09.2016;05.09.2016;14.09.2016;;;;
12199;Aerosol & Cosm.;Glycerine 100ml  PET ;;Closed;;20.10.2016;20.10.2016;20.10.2016;20.10.2016;20.10.2016;21.10.2016;;;;
12201;Parceval Pharmaceuticals;Aloe Vera Gel 75ml;X;;;;;-;-;-;-;-;-;;
12202;Supernice Trading;Shoprite Honey Bottle 340g - Natural;X;;-;;;-;-;-;-;-;-;;
12203;ZA Natural Care; Aloe Gel 75ml;X;;-;;;-;-;-;-;-;-;;
12200;J.Knight Agencies;Vaida's Hair Conditioner 100ml PJ Lid (ITW11750);;Closed;;22.08.2016;30.08.2016;31.08.2016;01.09.2016;02.09.2016;08.09.2016;;;;
12205;Britec Labs;OSH  R/O Bottle 100ml Berry Bubbly;X;;-;;;-;-;-;-;-;-;;
12206;NSP Unsgaard;Loony Tunes Bubble Babes Foam Bath Pink Cap (cancelled);;;-;;;-;-;-;-;-;-;;
12207;NSP Unsgaard;Loony Tunes Bubble Dudes Foam Bath Blue Cap (cancelled);;;-;;;-;-;-;-;-;-;;
12208;Consumer / Tiger;Trigger Bottle 500ml Purple;;;-;;;-;-;-;-;-;-;;
12209;Olgani;Mineral Rich Evening Toothpaste 75ml;X;;-;;;-;-;-;-;-;-;;
12210;Reitzer Pharm.;Posi Required for old job CJARSREI000F;X;;-;;;-;-;-;-;-;-;;
12204;J&J;Baby Powder 500g;X;Closed;;29.08.2016;30.08.2016;-;-;01.09.2016;02.09.2016;;;;
12212;Skin Rejuvenation Technologies;Skinderm Medium Moisturiser 100ml ;X;;-;;;-;-;-;-;-;-;;
12213;Aerosol & Cosm.;Natures Nourishment Sensitive Face Wash  100ml;X;;-;;;-;-;-;-;-;-;;
12214;Kool A Chem;Kool A Sun Sunscreen SPF40 100ml;X;;-;;;-;-;-;-;-;-;;
12215;Saradox;Good Stuff Rock 'n'Rooibos Hand Cream 75ml;X;;-;;;-;-;-;-;-;-;;
12216;Nutriwoman;Nutriwoman Mattifying Hydrator 40ml;;;-;;;-;-;-;-;-;-;;
12217;Nutriwoman;40|A Cap Tnt Blue 299c ( Same  as Justine Cap Tnt Blue);;;-;;;-;-;-;-;-;-;;
12218;Nutriwoman;50A Cap Tnt Blue 299c (Same as Justine Cap Tnt Blue);;;-;;;-;-;-;-;-;-;;
12219;Le-Sel;Justine Skin Management For Men Moisture Balm 50ml (ITW 12014);X;Closed;;;;07.09.2016;07.09.2016;;;-;-;;
12220;Le-Sel;Moringa BB Cream 30ml;X;;-;;;-;-;-;-;-;-;;
12221;Le-Sel;Justine Skin Management For Men Triple Action Facewash 150ml (ITW12014);X;Closed;;;;07.09.2016;07.09.2016;;;-;-;;
12222;Le-Sel;Justine Skin Management For Men Soothing Shave Gel 150ml (ITW 12014);X;Closed;;;;07.09.2016;21.09.2016;;;-;-;;
12223;Bowler CT;38  F/T B/O Mould modification  to include a 2mm orifce;;;-;;;-;-;-;-;-;-;;
12224;Indigo Cosmetics;English Blazer  Hair and Body Body Wash 150ml ( tube colour match)Duplicate 11162;X;;-;;;-;-;-;-;-;-;;
12225;SC Johnson;Mr Muscle Drain Cleaner 500ml;;;-;;;-;-;-;-;-;-;;
12226;SC Johnson;Toilet Duck 500ml;;;-;;;-;-;-;-;-;-;;
12227;SC Johnson;Mr Muscle Trigger 500ml;;;-;;;-;-;-;-;-;-;;
12228;Saloncare;50x180/10 Coex White G/Laq / Unptd;X;;-;;;-;-;-;-;-;-;;
12229;Medipod;Foot Repair Cream 100ml;X;;-;;;-;-;-;-;-;-;;
12230;Canway;OSH Pony Party Pink Foam Bath Cap;;;-;;;-;-;-;-;-;-;;
12231;Le-Sel;Tablecharm Jar 50ml Cream;;;-;;;-;-;-;-;-;-;;
12232;Le-Sel;Table charm Lid 50ml - Beige;X;;-;;;-;-;-;-;-;-;;
12233;Pradiance;Tube 100ml;X;;-;;;-;-;-;-;-;-;;
12234;Pradiance;Tube 50ml;X;;-;;;-;-;-;-;-;-;;
12211;Lamicare;Malaysia Dermikelp Cream 25g;X;Closed;;24.08.2016;06.09.2016;07.09.2016;16.09.2016;19.09.2016;21.09.2016;;;;
12236;Canway;OSH Pony Party Pink 750ml Foam  Bath Bottle (ITW12230);;;-;;;-;-;-;-;-;-;;
12237;Chet Chemicals;Bleach Bottle 750ml  Yellow;;;-;;;-;-;-;-;-;-;;
12238;Bowler CT;F/T Cap 38mm Bump on with 2mm Orifice;;;-;;;-;-;-;-;-;-;;
12239;Amka Products;PG22 Indented  R/O Bottle 50ml Black;;;-;;;-;-;-;-;-;-;;
12235;SH'ZEN;Sh'zen Energy Lift Cleansing Gel 200ml;X;Closed;;08.09.2016;12.09.2016;13.09.2016;19.09.2016;19.09.2016;21.09.2016;;;;
12240;ZA Natural Care;A Aloe Gel 75ml;X;Closed;;19.09.2016;20.09.2016;21.09.2016;22.09.2016;22.09.2016;29.09.2016;;;;
12241;Le-Sel;Cantara Perfumed Body Cream 100ml;X;Closed;;13.09.2016;20.09.2016;21.09.2016;28.10.2016;31.10.2016;01.11.2016;;;;
12242;Prime Products;Tabasheer Gold Perfumed Body Cream 100ml;X;Closed;;13.09.2016;20.09.2016;21.09.2016;28.10.2016;31.10.2016;01.11.2016;;;;
12243;Prime Products;Wisteria Perfumed Body Cream 100ml;X;Closed;;13.09.2016;20.09.2016;21.09.2016;28.10.2016;31.10.2016;03.11.2016;;;;
12244;Le-Sel;Skin Care Perfecting Dark Spot Corrector 20ml;X;Closed;;07.11.2016;07.11.2016;07.11.2016;28.11.2016;29.11.2016;01.12.2016;;;;
12246;Le-Sel;Tissue Oil Skin Repair Face Cream SPF20 30ml;X;Closed;;13.09.2016;21.09.2016;22.09.2016;30.09.2016;30.09.2016;04.10.2016;04.10.2016;05.10.2016;;
12247;L Dingler;Taxi 25g Tamper Evedent Jar - Green ( 30 Each cavity);;Closed;-;;;-;-;-;-;-;-;;
12248;L Dingler;Taxi 25g Tamper Evedent Jar - Red  (30 each cavity);;Closed;-;;;-;-;-;-;-;-;;
12249;L Dingler;Taxi 25g Tamper Evedent Lid  - Engraved Yellow (30 each Cavity);X;Closed;-;;;-;-;-;-;-;-;;
12250;Le-Sel;Tissue Oil Skin Repair Face Cream SPF20 30ml Oily Skin ( ITW 12246);X;Closed;;13.09.2016;21.09.2016;22.09.2016;30.09.2016;30.09.2016;04.10.2016;04.10.2016;05.10.2016;;
12245;Le-Sel;A Firm Platinum Day Cream 50ml (13/01/2016 order cancelled);X;Closed;;13.10.2016;14.10.2016;18.10.2016;21.10.2016;24.10.2016;25.10.2016;;;;
12252;Natures Touch;Baobab And Marula Cream 50ml;X;;-;;;-;-;-;-;-;-;;
12253;Natures Touch;Quince And Honey Suckle Cream 50ml;X;;-;;;-;-;-;-;-;-;;
12254;Natures Touch;Tangerine and Elemi Cream 50ml;X;;-;;;-;-;-;-;-;-;;
12255;Natures Touch;Pomegranite and Double Rose 50ml;X;;-;;;-;-;-;-;-;-;;
12256;Natures Touch;Rosmary And Frankinscence Cream 50ml;X;;-;;;-;-;-;-;-;-;;
12257;Natures Touch;Lemon And Pelargonium Cream 100ml;X;;-;;;-;-;-;-;-;-;;
12258;Crede Oils;Crede Oil 1lt  Lid;;;-;;;-;-;-;-;-;-;;
12259;Le-Sel;Tranquility Perfumed Body Cream 100ml (ITW12243);X;;-;;;-;-;-;-;-;-;;
12260;Bio Earth Man.;Tube 40x180/10 PBL White;X;;-;;;-;-;-;-;-;-;;
12261;Crede Oils;Crede Oil 1Lt Lid Blue  ( ITW12258);;;-;;;-;-;-;-;-;-;;
12262;Skin Rejuvenation Technologies;Skinderm  Derm Protect  20ml;X;;-;;;-;-;-;-;-;-;;
12263;Marketing and Mercantile Service;Arthur Jack Conditioning Shoe Cream 50ml;X;;-;;;-;-;-;-;-;-;;
12264;Amka Products;STS Male Flat R/O Cap Silver;;;-;;;-;-;-;-;-;-;;
12265;Amka Products;STS Male Indented B/B R/O Bottle - Dk Ble;;;-;;;-;-;-;-;-;-;;
12266;Impresspa;Collet 24/410 pump Long Skirt;;;-;;;-;-;-;-;-;-;;
12267;Impresspa;Collet Overcap (ITW11578);;;-;;;-;-;-;-;-;-;;
12268;Plush;Liquid Shoe Polish 75ml  Mould Modification;;;-;;;-;-;-;-;-;-;;
12269;Barrs;SteriSol 500ml  -  Green;;;-;;;-;-;-;-;-;-;;
12270;Zeta Laboratories;Clicks Revive Active  R/O  Cap;;;-;;;-;-;-;-;-;-;;
12271;Zeta Laboratories;Clicks Revive Energiser R/O Cap;;;-;;;-;-;-;-;-;-;;
12272;Zeta Laboratories;Clicks Revive Balance R/.O Cap;;;-;;;-;-;-;-;-;-;;
12273;Riblex Marketing;Tube 40x120/10 Coex White;;;-;;;-;-;-;-;-;-;;
12274;Riblex Marketing;Tube 35x100/10 coex White;;;-;;;-;-;-;-;-;-;;
12275;Riblex Marketing;Tube 35x100/10 Coex Black;;;-;;;-;-;-;-;-;-;;
12276;Riblex Marketing;Tube 50x160/10 Coex Black;;;-;;;-;-;-;-;-;-;;
12251;Le-Sel;A Firm Platinum Night Cream 50ml   (ITW 12245)(13/1/17 order cancelled);X;Closed;;13.10.2016;14.10.2016;18.10.2016;21.10.2016;24.10.2016;25.10.2016;;;;
12277;Environ Skin Care;Japan Moisture Gel 1 25ml ;X;Closed;;19.09.2016;27.09.2016;28.09.2016;06.10.2016;06.10.2016;11.10.2016;;;;
12278;Environ Skin Care;Japan Moisture Cream 1 25ml;X;Closed;;19.09.2016;27.09.2016;28.09.2016;06.10.2016;06.10.2016;11.10.2016;;;;
12279;Environ Skin Care;Japan Moisture Gel 2 60ml;X;Closed;;19.09.2016;27.09.2016;28.09.2016;06.10.2016;18.10.2016;20.10.2016;;;;
12280;Environ Skin Care;Japan Moisture Cream 2 60ml;X;Closed;;19.09.2016;27.09.2016;28.09.2016;06.10.2016;06.10.2016;11.10.2016;;;;
12281;Environ Skin Care;Japan Moisture Cream 3 60ml;X;Closed;;19.09.2016;27.09.2016;28.09.2016;06.10.2016;06.10.2016;11.10.2016;;;;
12282;Environ Skin Care;Japan Moisture Cream 4 60ml;X;Closed;;19.09.2016;27.09.2016;28.09.2016;06.10.2016;06.10.2016;11.10.2016;;;;
12284;Canway;OSH Cap Beauty Of Africa Plate - Engrave 20-09-16  Plates to be Made to Fit into OSH Cap Mould;;;-;;;-;-;-;-;-;-;;
12285;Customised Cosmetics;Silky Sox 100ml;X;;-;;;-;-;-;-;-;-;;
12283;Environ Skin Care;Japan RAD Lotion SPF 16 25ml;X;Closed;;19.09.2016;27.09.2016;28.09.2016;06.10.2016;06.10.2016;11.10.2016;;;;
12287;Le-Sel;Justine Intrinsic Female B/Ball R/O Cap 50ml;;;;;;-;-;-;-;-;-;;
12288;Le-Sel;Justine Ounce Mens R/O Bottle 50ml;X;;;;;-;-;-;-;-;-;;
12289;Le-Sel;Justine Ounce Mens R/O cap 50ml  Flat Cap;;;;;;-;-;-;-;-;-;;
12286;Le-Sel;Justine Intrinsic Female R/O Bottle - 50ml;;Closed;;13.03.2017;27.03.2017;28.03.2017;03.04.2017;03.04.2017;05.04.2017;;;;
12290;Le-Sel;Tissue Oil Face Wash 150ml;X;Closed;;13.09.2016;28.09.2016;29.09.2016;07.02.2017;07.02.2017;10.02.2017;;;;
12291;Skinchem (Pty) Ltd.;I/G Favori 50ml;X;Closed;;19.09.2016;30.09.2016;30.09.2016;07.10.2016;10.10.2016;13.10.2016;;;;
12292;Skinchem (Pty) Ltd.;I/G Hypnotique 50ml;X;Closed;;19.09.2016;30.09.2016;30.09.2016;07.10.2016;10.10.2016;13.10.2016;;;;
12293;Skinchem (Pty) Ltd.;I/G Madore 50ml;X;Closed;;19.09.2016;30.09.2016;30.09.2016;07.10.2016;10.10.2016;13.10.2016;;;;
12294;Skinchem (Pty) Ltd.;I/G Platinum Mens Oil Defence 50ml;X;Closed;;19.09.2016;30.09.2016;30.09.2016;21.10.2016;24.10.2016;25.10.2016;;;;
12295;Skinchem (Pty) Ltd.;I/G Youthful Glow Day Moisturiser 50ml;;Closed;;19.09.2016;30.09.2016;30.09.2016;07.10.2016;11.10.2016;17.10.2016;;;;
12297;Botle Buhle;Orijin African Potato  Lotion 250;;;;;;-;-;-;-;-;-;;
12298;Botle Buhle;Orijin African Potato F/T Cap;;;;;;-;-;-;-;-;-;;
12299;Botle Buhle;Orijin Conditioner 250ml ;;;;;;-;-;-;-;-;-;;
12300;Botle Buhle;PH 5.5 F/T Cap;;;;;;-;-;-;-;-;-;;
12301;Botle Buhle;Orijin Shampoo 250ml Bottle;;;;;;-;-;-;-;-;-;;
12302;Botle Buhle;PH 5.5 F/T Cap;;;;;;-;-;-;-;-;-;;
12303;Sol RX;Dry Zinc Sunscreen SPF50 120ml;X;;;;;-;-;-;-;-;-;;
12296;Skinchem (Pty) Ltd.;I/G Revitalising Mask 20ml;X;Closed;;19.09.2016;30.09.2016;30.09.2016;07.10.2016;10.10.2016;13.10.2016;;;;
12304;Environ Skin Care;Japan Delicate  Cream 60ml;X;Closed;;26.09.2016;28.09.2016;29.09.2016;19.10.2016;20.10.2016;24.10.2016;;;;
12306;Chet Chemicals;Sheermagic Square Mousson Cap Gold;;;;;;-;-;-;-;-;-;;
12307;Chet Chemicals;Sheermagic Square Mousson Cap Green;;;;;;-;-;-;-;-;-;;
12308;Chet Chemicals;Sheermagic Square Mousson Cap Peach;;;;;;-;-;-;-;-;-;;
12309;Chet Chemicals;Sheermagic Square Mousson Cap Pink;;;;;;-;-;-;-;-;-;;
12310;Chet Chemicals;Sheermagic Square Mousson Cap Purple;;;;;;-;-;-;-;-;-;;
12311;Chet Chemicals;Sheermagic Square Mousson Cap Turquiouse;;;;;;-;-;-;-;-;-;;
12312;Elso Holdings;Dishwasher 750ml ;X;;;;;-;-;-;-;-;-;;
12313;Recreation Health;Bettamed 25g;X;;;;;-;-;-;-;-;-;;
12314;Recreation Health;Bettamed 50g;X;;;;;-;-;-;-;-;-;;
12315;Crede Oils;Crede Oil Jar and lid - White  (ITW12182);;;;;;-;-;-;-;-;-;;
12316;Elso Holdings;Dishwasher 400ml PET;;;;;;-;-;-;-;-;-;;
12317;Nature Fresh Health Prod.;Pure Smile  Toothpaste 100ml;X;;;;;-;-;-;-;-;-;;
12318;Supernice Trading;Honey And Chocolate  125ml(150g);X;;;;;-;-;-;-;-;-;;
12319;Supernice Trading;Raw Honey 125ml (150g);X;;;;;-;-;-;-;-;-;;
12320;Supernice Trading;Honey And Peanut Butter 125ml (150g);X;;;;;-;-;-;-;-;-;;
12321;Kool A Chem;Body Lotion 150ml;X;;;;;-;-;-;-;-;-;;
12322;Down To Earth;Down To Earth Clear Skin Gel 125Ml;X;;;;;-;-;-;-;-;-;;
12323;Canway;OSH Beauty Of Africa;;;;;;-;-;-;-;-;-;;
12324;B Braun Medical;BioCream Anticeptics Cream 25g;X;;;;;-;-;-;-;-;-;;
12305;Environ Skin Care;Japan Facial Treatment Moisture Gel 100ml;X;Closed;;26.09.2016;28.09.2016;29.09.2016;19.10.2016;20.10.2016;24.10.2016;;;;
